日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2017-12-29,'600759,洲际油气,4.26,4.31,4.23,4.28,4.25,0.01,0.2353,0.5258,11872497,50610426.0,9642542026.68,9619863916.68,None
2017-12-28,'600759,洲际油气,4.25,4.28,4.13,4.18,4.24,0.01,0.2358,0.8485,19161733,80614580.0,9619906951.5,9597282076.5,None
2017-12-27,'600759,洲际油气,4.24,4.43,4.22,4.27,4.23,0.01,0.2364,1.1703,26428398,114503801.0,9597271876.32,9574700236.32,None
2017-12-26,'600759,洲际油气,4.23,4.29,4.12,4.19,4.24,-0.01,-0.2358,0.8843,19970016,83932536.0,9574636801.14,9552118396.14,None
2017-12-25,'600759,洲际油气,4.24,4.4,4.21,4.35,4.4,-0.16,-3.6364,1.3263,29949562,129022927.0,9597271876.32,9574700236.32,None
2017-12-22,'600759,洲际油气,4.4,4.46,4.1,4.11,4.13,0.27,6.5375,1.9645,44362523,190810867.0,9959433079.2,9936009679.2,None
2017-12-21,'600759,洲际油气,4.13,4.14,4.06,4.1,4.1,0.03,0.7317,0.6014,13580043,55858214.0,9348286049.34,9326299994.34,None
2017-12-20,'600759,洲际油气,4.1,4.17,4.06,4.1,4.13,-0.03,-0.7264,0.8611,19444536,80155247.0,9280380823.8,9258554473.8,None
2017-12-19,'600759,洲际油气,4.13,4.16,3.9,3.98,3.99,0.14,3.5088,1.6126,36416378,146470584.0,9348286049.34,9326299994.34,None
2017-12-18,'600759,洲际油气,3.99,4.2,3.98,4.2,4.21,-0.22,-5.2257,2.5555,40397379,163990770.0,9031394996.82,6307508942.91,None
2017-12-15,'600759,洲际油气,4.21,4.31,4.2,4.31,4.33,-0.12,-2.7714,1.1952,18893611,80014971.0,9529366650.78,6655291390.89,None
2017-12-14,'600759,洲际油气,4.33,4.38,4.27,4.37,4.36,-0.03,-0.6881,0.7339,11602120,50122919.0,9800987552.94,6844990907.97,None
2017-12-13,'600759,洲际油气,4.36,4.38,4.32,4.36,4.4,-0.04,-0.9091,0.6147,9717540,42240026.0,9868892778.48,6892415787.24,None
2017-12-12,'600759,洲际油气,4.4,4.43,4.33,4.42,4.42,-0.02,-0.4525,0.8846,13984748,61242913.0,9959433079.2,6955648959.6,None
2017-12-11,'600759,洲际油气,4.42,4.45,4.39,4.41,4.45,-0.03,-0.6742,1.1683,18468272,81657892.0,10004703229.6,6987265545.78,None
