»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ,≥…Ωª±  ˝
2017-12-29,'603711,œ„∆Æ∆Æ,26.57,29.42,26.42,28.7,29.35,-2.78,-9.4719,34.1201,13651439,380045000.0,10628265700.0,1063065700.0,None
2017-12-28,'603711,œ„∆Æ∆Æ,29.35,30.73,27.51,27.8,28.59,0.76,2.6583,48.7164,19491433,563958519.0,11740293500.0,1174293500.0,None
2017-12-27,'603711,œ„∆Æ∆Æ,28.59,29.17,26.64,26.91,27.18,1.41,5.1876,44.9383,17979818,503101552.0,11436285900.0,1143885900.0,None
2017-12-26,'603711,œ„∆Æ∆Æ,27.18,28.5,26.26,26.4,26.75,0.43,1.6075,37.3745,14953541,409555120.0,10872271800.0,1087471800.0,None
2017-12-25,'603711,œ„∆Æ∆Æ,26.75,27.48,25.8,26.35,27.06,-0.31,-1.1456,29.0225,11611888,307354165.0,10700267500.0,1070267500.0,None
2017-12-22,'603711,œ„∆Æ∆Æ,27.06,27.3,24.5,24.63,24.86,2.2,8.8496,40.8761,16354515,429339865.0,10824270600.0,1082670600.0,None
2017-12-21,'603711,œ„∆Æ∆Æ,24.86,25.26,24.0,24.7,24.77,0.09,0.3633,23.7936,9519808,234638037.0,9944248600.0,994648600.0,None
2017-12-20,'603711,œ„∆Æ∆Æ,24.77,25.8,24.73,25.5,25.75,-0.98,-3.8058,19.5829,7835101,196917187.0,9908247700.0,991047700.0,None
2017-12-19,'603711,œ„∆Æ∆Æ,25.75,25.9,25.08,25.21,25.66,0.09,0.3507,19.1239,7651477,195467949.0,10300257500.0,1030257500.0,None
2017-12-18,'603711,œ„∆Æ∆Æ,25.66,27.8,25.37,27.76,27.85,-2.19,-7.8636,29.2111,11687368,307256520.0,10264256600.0,1026656600.0,None
2017-12-15,'603711,œ„∆Æ∆Æ,27.85,28.95,27.72,28.95,29.2,-1.35,-4.6233,27.7506,11103018,314850585.0,11140278500.0,1114278500.0,None
2017-12-14,'603711,œ„∆Æ∆Æ,29.2,29.73,28.16,29.02,29.86,-0.66,-2.2103,33.8029,13524550,389988681.0,11680292000.0,1168292000.0,None
2017-12-13,'603711,œ„∆Æ∆Æ,29.86,30.66,28.51,28.51,29.94,-0.08,-0.2672,33.4992,13403049,396617731.0,11944298600.0,1194698600.0,None
2017-12-12,'603711,œ„∆Æ∆Æ,29.94,31.48,29.94,30.31,33.27,-3.33,-10.009,45.6842,18278266,556265230.0,11976299400.0,1197899400.0,None
2017-12-11,'603711,œ„∆Æ∆Æ,33.27,38.0,32.76,37.78,34.87,-1.6,-4.5885,72.4871,29002074,1012033241.0,13308332700.0,1331132700.0,None
2017-12-08,'603711,œ„∆Æ∆Æ,34.87,34.87,31.01,31.8,31.7,3.17,10.0,38.9152,15569958,525547106.0,13948348700.0,1395148700.0,None
2017-12-07,'603711,œ„∆Æ∆Æ,31.7,32.89,30.51,32.89,29.9,1.8,6.0201,68.5262,27417317,865069183.0,12680317000.0,1268317000.0,None
2017-12-06,'603711,œ„∆Æ∆Æ,29.9,29.9,29.9,29.9,27.18,2.72,10.0074,13.7348,5495292,164309231.0,11960299000.0,1196299000.0,None
2017-12-05,'603711,œ„∆Æ∆Æ,27.18,27.18,27.18,27.18,24.71,2.47,9.996,1.5014,600716,16327461.0,10872271800.0,1087471800.0,None
2017-12-04,'603711,œ„∆Æ∆Æ,24.71,24.71,24.71,24.71,22.46,2.25,10.0178,0.3076,123074,3041159.0,9884247100.0,988647100.0,None
2017-12-01,'603711,œ„∆Æ∆Æ,22.46,22.46,22.46,22.46,20.42,2.04,9.9902,0.0564,22572,506967.0,8984224600.0,898624600.0,None
2017-11-30,'603711,Nœ„∆Æ∆Æ,20.42,20.42,17.02,17.02,14.18,6.24,44.0056,0.0673,26908,545721.0,8168204200.0,817004200.0,None
