日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2018-02-01,'600881,亚泰集团,4.97,5.25,4.9,5.21,5.2,-0.23,-4.4231,0.9222,17473854,89591049.0,16147100532.4,9416818328.26,None
2018-01-31,'600881,亚泰集团,5.2,5.33,5.19,5.32,5.34,-0.14,-2.6217,0.8527,16156618,84630335.0,16894350657.6,9852606701.6,None
2018-01-30,'600881,亚泰集团,5.34,5.5,5.32,5.48,5.45,-0.11,-2.0183,1.1093,21018630,113122956.0,17349198559.9,10117869189.7,None
2018-01-29,'600881,亚泰集团,5.45,5.46,5.37,5.41,5.41,0.04,0.7394,0.8883,16830193,91155964.0,17706579054.6,10326289716.1,None
2018-01-26,'600881,亚泰集团,5.41,5.41,5.34,5.35,5.36,0.05,0.9328,0.6335,12003870,64688606.0,17576622511.1,10250500433.8,None
2018-01-25,'600881,亚泰集团,5.36,5.42,5.34,5.39,5.4,-0.04,-0.7407,0.5751,10896283,58648353.0,17414176831.7,10155763830.9,None
2018-01-24,'600881,亚泰集团,5.4,5.41,5.3,5.32,5.33,0.07,1.3133,0.6367,12062887,64688757.0,17544133375.2,10231553113.2,None
2018-01-23,'600881,亚泰集团,5.33,5.37,5.31,5.35,5.36,-0.03,-0.5597,0.5055,9577590,51095912.0,17316709424.0,10098921869.1,None
2018-01-22,'600881,亚泰集团,5.36,5.4,5.31,5.38,5.4,-0.04,-0.7407,0.7799,14776676,79083029.0,17414176831.7,10155763830.9,None
2018-01-19,'600881,亚泰集团,5.4,5.44,5.35,5.38,5.38,0.02,0.3717,0.8339,15800165,85217743.0,17544133375.2,10231553113.2,None
2018-01-18,'600881,亚泰集团,5.38,5.39,5.29,5.33,5.32,0.06,1.1278,0.5461,10347132,55259725.0,17479155103.4,10193658472.0,None
2018-01-17,'600881,亚泰集团,5.32,5.38,5.25,5.29,5.29,0.03,0.5671,0.5043,9554423,50964936.0,17284220288.2,10079974548.6,None
2018-01-16,'600881,亚泰集团,5.29,5.34,5.22,5.22,5.27,0.02,0.3795,0.3063,5804338,30721159.0,17186752880.5,10023132586.8,None
2018-01-15,'600881,亚泰集团,5.27,5.41,5.23,5.37,5.37,-0.1,-1.8622,0.6728,12747790,68248498.0,17121774608.8,9985237945.66,None
2018-01-12,'600881,亚泰集团,5.37,5.4,5.31,5.35,5.35,0.02,0.3738,0.4876,9239600,49483824.0,17446665967.6,10174711151.5,None
2018-01-11,'600881,亚泰集团,5.35,5.37,5.31,5.33,5.36,-0.01,-0.1866,0.3939,7463493,39825648.0,17381687695.8,10136816510.3,None
2018-01-10,'600881,亚泰集团,5.36,5.43,5.32,5.41,5.41,-0.05,-0.9242,0.5884,11147915,59913621.0,17414176831.7,10155763830.9,None
2018-01-09,'600881,亚泰集团,5.41,5.47,5.4,5.44,5.44,-0.03,-0.5515,0.4859,9206341,49936162.0,17576622511.1,10250500433.8,None
2018-01-08,'600881,亚泰集团,5.44,5.48,5.36,5.37,5.39,0.05,0.9276,0.7307,13845127,75262629.0,17674089918.7,10307342395.5,None
2018-01-05,'600881,亚泰集团,5.39,5.43,5.35,5.38,5.4,-0.01,-0.1852,0.5311,10062703,54290175.0,17511644239.3,10212605792.6,None
2018-01-04,'600881,亚泰集团,5.4,5.42,5.33,5.34,5.35,0.05,0.9346,0.628,11899059,64016373.0,17544133375.2,10231553113.2,None
2018-01-03,'600881,亚泰集团,5.35,5.37,5.31,5.36,5.36,-0.01,-0.1866,0.5493,10407238,55664003.0,17381687695.8,10136816510.3,None
2018-01-02,'600881,亚泰集团,5.36,5.38,5.28,5.28,5.28,0.08,1.5152,0.5482,10386817,55407277.0,17414176831.7,10155763830.9,None
