日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2018-02-01,'601118,海南橡胶,5.56,5.94,5.5,5.85,5.85,-0.29,-4.9573,1.1529,45323830,255563292.0,21857314096.0,21857314096.0,None
2018-01-31,'601118,海南橡胶,5.85,6.23,5.85,6.05,6.5,-0.65,-10.0,1.8097,71143558,430290680.0,22997353860.0,22997353860.0,None
2018-01-30,'601118,海南橡胶,6.5,6.6,6.32,6.42,6.42,0.08,1.2461,1.3547,53256295,345603126.0,25552615400.0,25552615400.0,None
2018-01-29,'601118,海南橡胶,6.42,6.56,6.12,6.17,6.11,0.31,5.0736,2.2035,86624193,554488054.0,25238121672.0,25238121672.0,None
2018-01-26,'601118,海南橡胶,6.11,6.14,6.0,6.0,6.02,0.09,1.495,0.6586,25889138,157915360.0,24019458476.0,24019458476.0,None
2018-01-25,'601118,海南橡胶,6.02,6.07,5.97,5.99,6.01,0.01,0.1664,0.3927,15436751,92988679.0,23665653032.0,23665653032.0,None
2018-01-24,'601118,海南橡胶,6.01,6.08,5.92,6.04,6.08,-0.07,-1.1513,0.4817,18937426,113447683.0,23626341316.0,23626341316.0,None
2018-01-23,'601118,海南橡胶,6.08,6.18,5.93,5.97,5.98,0.1,1.6722,0.9242,36330472,220397243.0,23901523328.0,23901523328.0,None
2018-01-22,'601118,海南橡胶,5.98,5.99,5.87,5.93,5.92,0.06,1.0135,0.2801,11013159,65590421.0,23508406168.0,23508406168.0,None
2018-01-19,'601118,海南橡胶,5.92,6.03,5.89,6.02,6.04,-0.12,-1.9868,0.535,21033719,125435034.0,23272535872.0,23272535872.0,None
2018-01-18,'601118,海南橡胶,6.04,6.14,5.96,6.06,6.08,-0.04,-0.6579,0.6087,23930569,144417113.0,23744276464.0,23744276464.0,None
2018-01-17,'601118,海南橡胶,6.08,6.35,5.94,6.0,6.05,0.03,0.4959,1.4833,58313005,359284882.0,23901523328.0,23901523328.0,None
2018-01-16,'601118,海南橡胶,6.05,6.09,5.86,5.87,5.74,0.31,5.4007,1.3778,54165567,324440505.0,23783588180.0,23783588180.0,None
2018-01-15,'601118,海南橡胶,5.74,5.84,5.7,5.82,5.81,-0.07,-1.2048,0.3314,13026973,74956127.0,22564924984.0,22564924984.0,None
2018-01-12,'601118,海南橡胶,5.81,5.96,5.78,5.9,5.94,-0.13,-2.1886,0.4281,16830187,98594406.0,22840106996.0,22840106996.0,None
2018-01-11,'601118,海南橡胶,5.94,6.06,5.79,5.85,5.88,0.06,1.0204,0.5627,22119549,130560961.0,23351159304.0,23351159304.0,None
2018-01-10,'601118,海南橡胶,5.88,5.88,5.8,5.86,5.86,0.02,0.3413,0.3373,13257930,77436383.0,23115289008.0,23115289008.0,None
2018-01-09,'601118,海南橡胶,5.86,5.93,5.82,5.86,5.91,-0.05,-0.846,0.2921,11482563,67432074.0,23036665576.0,23036665576.0,None
2018-01-08,'601118,海南橡胶,5.91,5.95,5.82,5.84,5.83,0.08,1.3722,0.4922,19351003,113765042.0,23233224156.0,23233224156.0,None
2018-01-05,'601118,海南橡胶,5.83,5.94,5.75,5.75,5.75,0.08,1.3913,0.6336,24907920,145739708.0,22918730428.0,22918730428.0,None
2018-01-04,'601118,海南橡胶,5.75,5.78,5.64,5.68,5.69,0.06,1.0545,0.4692,18446799,105647777.0,22604236700.0,22604236700.0,None
2018-01-03,'601118,海南橡胶,5.69,5.72,5.62,5.62,5.65,0.04,0.708,0.4825,18969177,107756990.0,22368366404.0,22368366404.0,None
2018-01-02,'601118,海南橡胶,5.65,5.65,5.54,5.56,5.55,0.1,1.8018,0.4726,18576965,104041095.0,22211119540.0,22211119540.0,None
