�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉,傖蝠捩杅
2018-02-01,'600660,腦珓產薛,26.75,27.21,26.41,27.09,27.09,-0.34,-1.2551,0.5796,11609903,309121049.0,67105518981.0,53579884381.0,None
2018-01-31,'600660,腦珓產薛,27.09,27.15,26.6,26.84,26.85,0.24,0.8939,0.598,11977534,323633178.0,67958448941.9,54260899733.9,None
2018-01-30,'600660,腦珓產薛,26.85,26.86,26.4,26.48,26.54,0.31,1.168,0.7162,14344986,382477703.0,67356380734.2,53780183014.2,None
2018-01-29,'600660,腦珓產薛,26.54,27.98,26.48,27.95,27.82,-1.28,-4.601,1.3108,26254903,710587614.0,66578709299.3,53159257251.3,None
2018-01-26,'600660,腦珓產薛,27.82,27.93,27.6,27.68,27.69,0.13,0.4695,0.5692,11401091,316881070.0,69789739740.2,55723079756.2,None
2018-01-25,'600660,腦珓產薛,27.69,28.35,27.46,28.19,28.38,-0.69,-2.4313,1.0443,20917347,581092165.0,69463619461.1,55462691533.1,None
2018-01-24,'600660,腦珓產薛,28.38,28.77,28.16,28.77,28.82,-0.44,-1.5267,0.7868,15759186,445613967.0,71194565558.2,56844752102.2,None
2018-01-23,'600660,腦珓產薛,28.82,29.28,28.66,29.0,28.98,-0.16,-0.5521,0.5559,11134669,322099328.0,72298357272.2,57726066088.2,None
2018-01-22,'600660,腦珓產薛,28.98,28.99,28.2,28.41,28.41,0.57,2.0063,0.674,13501064,389289514.0,72699736077.4,58046543901.4,None
2018-01-19,'600660,腦珓產薛,28.41,28.68,28.21,28.28,28.29,0.12,0.4242,0.4505,9023208,257042293.0,71269824084.1,56904841692.1,None
2018-01-18,'600660,腦珓產薛,28.29,28.35,28.05,28.18,28.15,0.14,0.4973,0.5129,10273442,289456916.0,70968789980.3,56664483332.3,None
2018-01-17,'600660,腦珓產薛,28.15,28.75,27.8,28.75,28.88,-0.73,-2.5277,0.9692,19412203,546774368.0,70617583525.8,56384065245.8,None
2018-01-16,'600660,腦珓產薛,28.88,28.95,28.18,28.42,28.49,0.39,1.3689,0.6442,12903586,370394895.0,72448874324.2,57846245268.2,None
2018-01-15,'600660,腦珓產薛,28.49,29.38,28.45,29.38,29.39,-0.9,-3.0623,0.8498,17022181,490699699.0,71470513486.7,57065080598.7,None
2018-01-12,'600660,腦珓產薛,29.39,29.95,29.2,29.86,29.79,-0.4,-1.3427,0.4979,9972193,293242191.0,73728269265.5,58867768297.5,None
2018-01-11,'600660,腦珓產薛,29.79,30.22,29.6,30.0,30.0,-0.21,-0.7,0.413,8271828,247124153.0,74731716278.3,59668962830.3,None
2018-01-10,'600660,腦珓產薛,30.0,30.0,29.4,29.58,29.64,0.36,1.2146,0.5359,10734517,318944914.0,75258525960.0,60089589960.0,None
2018-01-09,'600660,腦珓產薛,29.64,29.88,29.5,29.8,29.79,-0.15,-0.5035,0.4912,9838423,291454167.0,74355423648.5,59368514880.5,None
2018-01-08,'600660,腦珓產薛,29.79,29.98,28.81,29.31,29.36,0.43,1.4646,0.9396,18820497,556424533.0,74731716278.3,59668962830.3,None
2018-01-05,'600660,腦珓產薛,29.36,29.6,29.11,29.59,29.62,-0.26,-0.8778,0.6836,13692353,401169788.0,73653010739.5,58807678707.5,None
2018-01-04,'600660,腦珓產薛,29.62,29.77,29.27,29.53,29.54,0.08,0.2708,0.5132,10279068,303831487.0,74305251297.8,59328455153.8,None
2018-01-03,'600660,腦珓產薛,29.54,30.0,29.37,29.9,29.89,-0.35,-1.171,0.6454,12927047,383838660.0,74104561895.3,59168216247.3,None
2018-01-02,'600660,腦珓產薛,29.89,29.9,29.1,29.1,29.0,0.89,3.069,0.7655,15333788,454916099.0,74982578031.5,59869261463.5,None
